Date,NY-NJ-PA,US
Jan-10,238.97,216.687
Feb-10,238.862,216.741
Mar-10,240.101,217.631
Apr-10,240.529,218.009
May-10,241.075,218.178
Jun-10,240.817,217.965
Jul-10,241.147,218.011
Aug-10,241.569,218.312
Sep-10,241.485,218.439
Oct-10,241.981,218.711
Nov-10,241.96,218.803
Dec-10,241.874,219.179
Jan-11,242.639,220.223
Feb-11,243.832,221.309
Mar-11,245.617,223.467
Apr-11,246.489,224.906
May-11,248.073,225.964
Jun-11,248.505,225.722
Jul-11,249.164,225.922
Aug-11,250.058,226.545
Sep-11,250.559,226.889
Oct-11,250.051,226.421
Nov-11,249.317,226.23
Dec-11,248.307,225.672
Jan-12,249.322,226.665
Feb-12,250.285,227.663
Mar-12,251.887,229.392
Apr-12,252.349,230.085
May-12,252.652,229.815
Jun-12,252.406,229.478
Jul-12,252.016,229.104
Aug-12,253.472,230.379
Sep-12,254.554,231.407
Oct-12,254.277,231.317
Nov-12,254.285,230.221
Dec-12,253.555,229.601
Jan-13,254.807,230.28
Feb-13,256.234,232.166
Mar-13,256.589,232.773
Apr-13,255.967,232.531
May-13,256.27,232.945
Jun-13,256.911,233.504
Jul-13,257.326,233.596
Aug-13,257.659,233.877
Sep-13,258.504,234.149
Oct-13,257.069,233.546
Nov-13,257.377,233.069
Dec-13,257.284,233.049
Jan-14,259.596,233.916
Feb-14,259.019,234.781
Mar-14,259.971,236.293
Apr-14,259.985,237.072
May-14,261.225,237.9
Jun-14,261.35,238.343
Jul-14,261.498,238.25
Aug-14,261.075,237.852
Sep-14,261.074,238.031
Oct-14,260.5,237.433
Nov-14,259.382,236.151
Dec-14,258.08,234.812
Jan-15,258.376,233.707
Feb-15,259.24,234.722
Mar-15,259.647,236.119
Apr-15,259.959,236.599
May-15,261.066,237.805
Jun-15,261.512,238.638
Jul-15,261.199,238.654
Aug-15,261.347,238.316
Sep-15,261.887,237.945
Oct-15,261.515,237.838
Nov-15,261.009,237.336
Dec-15,259.941,236.525
Jan-16,260.342,236.916
Feb-16,260.875,237.111
Mar-16,261.508,238.132
Apr-16,262.619,239.261
May-16,263.312,240.229
Jun-16,263.877,241.018
Jul-16,263.722,240.628
Aug-16,264.16,240.849
Sep-16,264.602,241.428
Oct-16,264.738,241.729
Nov-16,265.203,241.353
Dec-16,265.421,241.432
Jan-17,266.917,242.839
Feb-17,267.662,243.603
Mar-17,267.582,243.801
Apr-17,267.948,244.524
May-17,268.183,244.733
Jun-17,268.666,244.955
Jul-17,268.051,244.786
Aug-17,268.657,245.519
Sep-17,270.059,246.819
Oct-17,269.575,246.663
Nov-17,269.381,246.669
Dec-17,269.564,246.524
Jan-18,270.771,247.867
Feb-18,272.214,248.991
Mar-18,272.196,249.554
Apr-18,272.95,250.546
May-18,274.001,251.588
Jun-18,274.17,251.989
Jul-18,274.073,252.006
Aug-18,274.441,252.146
Sep-18,275.455,252.439
Oct-18,275.101,252.885
Nov-18,274.478,252.038
Dec-18,273.836,251.233
Jan-19,275.144,251.712
Feb-19,275.823,252.776
Mar-19,276.57,254.202
Apr-19,277.441,255.548
May-19,278.068,256.092
Jun-19,278.802,256.143
Jul-19,278.817,256.571
Aug-19,279.428,256.558
Sep-19,279.338,256.759
Oct-19,279.255,257.346
Nov-19,279.468,257.208
Dec-19,279.816,256.974
Jan-20,282.02,257.971
Feb-20,282.577,258.678
Mar-20,281.975,258.115
Apr-20,280.623,256.389
May-20,282.092,256.394
Jun-20,282.333,257.797
Jul-20,283.624,259.101
Aug-20,283.478,259.918
